shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q1000_k1000_ns1_tq1000_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,1,1000,1000,1000,128,0.029859161376953124,0.03101317584514618,0.9628,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1000_ns1_tq1000_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,1,1000,1000,1000,0,0.03504720032215118,0.039844223856925966,0.8796,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1002_ns10_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,10,8192,1000,1002,128,0.10641710758209229,0.10241167545318604,1.0391,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1002_ns10_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,10,8192,1000,1002,0,0.20531535148620605,0.22577779293060302,0.9094,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1003_ns18_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,18,8192,1000,1003,128,0.09793557524681092,0.10476009845733643,0.9349,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1003_ns18_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,18,8192,1000,1003,0,0.24434492588043213,0.2642925500869751,0.9245,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1004_ns26_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,26,8192,1000,1004,128,0.09701207280158997,0.10500212907791137,0.9239,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1004_ns26_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,26,8192,1000,1004,0,0.2619534969329834,0.27727210521698,0.9448,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1005_ns34_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,34,8192,1000,1005,128,0.10503661632537842,0.10630662441253662,0.9881,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1005_ns34_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,34,8192,1000,1005,0,0.27677164077758787,0.2945662260055542,0.9396,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1006_ns42_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,42,8192,1000,1006,128,0.11810270547866822,0.1062556266784668,1.1115,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1006_ns42_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,42,8192,1000,1006,0,0.2836491584777832,0.2998007535934448,0.9461,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1007_ns51_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,51,8192,1000,1007,128,0.09684056043624878,0.10500061511993408,0.9223,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1007_ns51_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,51,8192,1000,1007,0,0.28682019710540774,0.3008312702178955,0.9534,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1008_ns59_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,59,8192,1000,1008,128,0.09959858655929565,0.10490161180496216,0.9494,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1008_ns59_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,59,8192,1000,1008,0,0.2930532217025757,0.30183680057525636,0.9709,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1009_ns64_tq5890_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,64,5890,1000,1009,128,0.07907395958900451,0.08151297569274903,0.9701,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1009_ns64_tq5890_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,64,5890,1000,1009,0,0.22321031093597413,0.23342936038970946,0.9562,0.000977,production_dispatch,65536
