shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q8192_k8192_ns1_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,1,8192,8192,8192,128,0.09373300075531006,0.08572494983673096,1.0934,0.007812,production_dispatch,131072
d64_b32_h64kv8_q4523_k10065_ns13_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,13,8192,4523,10065,0,2.3261314392089845,2.583110237121582,0.9005,0.000244,production_dispatch,131072
d64_b32_h64kv8_q4442_k10081_ns26_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,26,8192,4442,10081,128,0.10858914852142335,0.09748510122299195,1.1139,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6862_k10096_ns38_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,38,8192,6862,10096,0,1.9765716552734376,2.2375724792480467,0.8834,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7241_k10112_ns51_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,51,8192,7241,10112,128,0.10378714799880981,0.09672709703445434,1.073,0.007812,production_dispatch,131072
d64_b32_h64kv8_q8130_k10127_ns63_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,63,8192,8130,10127,0,1.7174568176269531,1.9920177459716797,0.8622,0.000488,production_dispatch,131072
d64_b32_h64kv8_q8117_k10143_ns76_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,76,8192,8117,10143,128,0.10828515291213989,0.0994190514087677,1.0892,0.007812,production_dispatch,131072
d64_b32_h64kv8_q7183_k10158_ns89_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,89,8192,7183,10158,0,1.9143190383911133,2.22525634765625,0.8603,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7597_k10174_ns102_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,102,8192,7597,10174,128,0.10812915563583374,0.09909704923629761,1.0911,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6298_k10189_ns114_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,114,8192,6298,10189,0,2.188393974304199,2.5568479537963866,0.8559,0.000488,production_dispatch,131072
d64_b32_h64kv8_q7113_k10205_ns127_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,127,8192,7113,10205,128,0.10754120349884033,0.09909505248069764,1.0852,0.003906,production_dispatch,131072
d64_b32_h64kv8_q6189_k10220_ns139_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,139,8192,6189,10220,0,2.2110422134399412,2.5881423950195312,0.8543,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7404_k10236_ns152_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,152,8192,7404,10236,128,0.0911549985408783,0.08979300260543824,1.0152,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6855_k10251_ns164_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,164,8192,6855,10251,0,2.107627105712891,2.4401067733764648,0.8637,0.000244,production_dispatch,131072
d64_b32_h64kv8_q8017_k10267_ns176_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,176,8192,8017,10267,128,0.11416325569152833,0.10090509653091431,1.1314,0.007812,production_dispatch,131072
d64_b32_h64kv8_q8005_k10282_ns188_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,188,8192,8005,10282,0,1.7645654678344727,2.0622325897216798,0.8557,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7692_k10298_ns201_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,201,8192,7692,10298,128,0.10794514417648315,0.10032509565353394,1.076,0.007812,production_dispatch,131072
