dtype,hdim_q,hdim_v,mask,atomic32,pssk,pddv,mode,bf16_cvt,ts_qo,ts,knl_name,co_name
fp16,64,64,0,0,0,0,0,3,0,64,_ZN5aiter29fmha_bwd_hd64_dq_convert_fp16E,bwd_hd64_dq_convert_fp16.co
fp16,64,64,0,0,0,0,1,3,0,64,_ZN5aiter35fmha_bwd_hd64_dq_convert_fp16_groupE,bwd_hd64_dq_convert_fp16_group.co
bf16,64,64,0,0,0,0,0,0,0,64,_ZN5aiter34fmha_bwd_hd64_dq_convert_bf16_rtneE,bwd_hd64_dq_convert_bf16_rtne.co
bf16,64,64,0,0,0,0,0,1,0,64,_ZN5aiter34fmha_bwd_hd64_dq_convert_bf16_rtnaE,bwd_hd64_dq_convert_bf16_rtna.co
bf16,64,64,0,0,0,0,0,2,0,64,_ZN5aiter33fmha_bwd_hd64_dq_convert_bf16_rtzE,bwd_hd64_dq_convert_bf16_rtz.co
bf16,64,64,0,0,0,0,1,0,0,64,_ZN5aiter40fmha_bwd_hd64_dq_convert_bf16_rtne_groupE,bwd_hd64_dq_convert_bf16_rtne_group.co
bf16,64,64,0,0,0,0,1,1,0,64,_ZN5aiter40fmha_bwd_hd64_dq_convert_bf16_rtna_groupE,bwd_hd64_dq_convert_bf16_rtna_group.co
bf16,64,64,0,0,0,0,1,2,0,64,_ZN5aiter39fmha_bwd_hd64_dq_convert_bf16_rtz_groupE,bwd_hd64_dq_convert_bf16_rtz_group.co
fp16,128,128,0,0,0,0,0,3,0,64,_ZN5aiter30fmha_bwd_hd128_dq_convert_fp16E,bwd_hd128_dq_convert_fp16.co
fp16,128,128,0,0,0,0,1,3,0,64,_ZN5aiter36fmha_bwd_hd128_dq_convert_fp16_groupE,bwd_hd128_dq_convert_fp16_group.co
bf16,128,128,0,0,0,0,0,0,0,64,_ZN5aiter35fmha_bwd_hd128_dq_convert_bf16_rtneE,bwd_hd128_dq_convert_bf16_rtne.co
bf16,128,128,0,0,0,0,0,1,0,64,_ZN5aiter35fmha_bwd_hd128_dq_convert_bf16_rtnaE,bwd_hd128_dq_convert_bf16_rtna.co
bf16,128,128,0,0,0,0,0,2,0,64,_ZN5aiter34fmha_bwd_hd128_dq_convert_bf16_rtzE,bwd_hd128_dq_convert_bf16_rtz.co
bf16,128,128,0,0,0,0,1,0,0,64,_ZN5aiter41fmha_bwd_hd128_dq_convert_bf16_rtne_groupE,bwd_hd128_dq_convert_bf16_rtne_group.co
bf16,128,128,0,0,0,0,1,1,0,64,_ZN5aiter41fmha_bwd_hd128_dq_convert_bf16_rtna_groupE,bwd_hd128_dq_convert_bf16_rtna_group.co
bf16,128,128,0,0,0,0,1,2,0,64,_ZN5aiter40fmha_bwd_hd128_dq_convert_bf16_rtz_groupE,bwd_hd128_dq_convert_bf16_rtz_group.co
fp16,192,192,0,0,0,0,0,3,0,64,_ZN5aiter30fmha_bwd_hd192_dq_convert_fp16E,bwd_hd192_dq_convert_fp16.co
fp16,192,192,0,0,0,0,1,3,0,64,_ZN5aiter36fmha_bwd_hd192_dq_convert_fp16_groupE,bwd_hd192_dq_convert_fp16_group.co
bf16,192,192,0,0,0,0,0,0,0,64,_ZN5aiter35fmha_bwd_hd192_dq_convert_bf16_rtneE,bwd_hd192_dq_convert_bf16_rtne.co
bf16,192,192,0,0,0,0,0,1,0,64,_ZN5aiter35fmha_bwd_hd192_dq_convert_bf16_rtnaE,bwd_hd192_dq_convert_bf16_rtna.co
bf16,192,192,0,0,0,0,0,2,0,64,_ZN5aiter34fmha_bwd_hd192_dq_convert_bf16_rtzE,bwd_hd192_dq_convert_bf16_rtz.co
bf16,192,192,0,0,0,0,1,0,0,64,_ZN5aiter41fmha_bwd_hd192_dq_convert_bf16_rtne_groupE,bwd_hd192_dq_convert_bf16_rtne_group.co
bf16,192,192,0,0,0,0,1,1,0,64,_ZN5aiter41fmha_bwd_hd192_dq_convert_bf16_rtna_groupE,bwd_hd192_dq_convert_bf16_rtna_group.co
bf16,192,192,0,0,0,0,1,2,0,64,_ZN5aiter40fmha_bwd_hd192_dq_convert_bf16_rtz_groupE,bwd_hd192_dq_convert_bf16_rtz_group.co
