dtype,hdim_q,hdim_v,mask,atomic32,pssk,pddv,mode,bf16_cvt,ts_qo,ts,knl_name,co_name
fp16,192,192,0,1,1,1,0,3,16,64,_ZN5aiter31fmha_bwd_hd192_fp16_a32_psskddvE,bwd_hd192_fp16_a32_psskddv.co
fp16,128,128,1,1,1,0,1,3,16,192,_ZN5aiter41fmha_bwd_hd128_fp16_causal_a32_pssk_groupE,bwd_hd128_fp16_causal_a32_pssk_group.co
fp16,128,128,1,1,1,1,1,3,16,192,_ZN5aiter44fmha_bwd_hd128_fp16_causal_a32_psskddv_groupE,bwd_hd128_fp16_causal_a32_psskddv_group.co
fp16,128,128,0,0,0,0,0,3,16,192,_ZN5aiter23fmha_bwd_hd128_fp16_a16E,bwd_hd128_fp16_a16.co
fp16,128,128,0,0,0,1,0,3,16,192,_ZN5aiter28fmha_bwd_hd128_fp16_a16_pddvE,bwd_hd128_fp16_a16_pddv.co
fp16,128,128,1,0,0,0,0,3,16,192,_ZN5aiter30fmha_bwd_hd128_fp16_causal_a16E,bwd_hd128_fp16_causal_a16.co
fp16,128,128,1,0,0,1,0,3,16,192,_ZN5aiter35fmha_bwd_hd128_fp16_causal_a16_pddvE,bwd_hd128_fp16_causal_a16_pddv.co
fp16,128,128,0,1,0,0,0,3,16,192,_ZN5aiter23fmha_bwd_hd128_fp16_a32E,bwd_hd128_fp16_a32.co
fp16,128,128,0,1,1,1,0,3,16,192,_ZN5aiter31fmha_bwd_hd128_fp16_a32_psskddvE,bwd_hd128_fp16_a32_psskddv.co
fp16,128,128,0,1,1,0,1,3,16,192,_ZN5aiter34fmha_bwd_hd128_fp16_a32_pssk_groupE,bwd_hd128_fp16_a32_pssk_group.co
fp16,128,128,0,1,1,1,1,3,16,192,_ZN5aiter37fmha_bwd_hd128_fp16_a32_psskddv_groupE,bwd_hd128_fp16_a32_psskddv_group.co
fp16,128,128,1,1,0,0,0,3,16,192,_ZN5aiter30fmha_bwd_hd128_fp16_causal_a32E,bwd_hd128_fp16_causal_a32.co
fp16,128,128,1,1,1,1,0,3,16,192,_ZN5aiter38fmha_bwd_hd128_fp16_causal_a32_psskddvE,bwd_hd128_fp16_causal_a32_psskddv.co
fp16,128,128,3,1,1,1,0,3,16,192,_ZN5aiter35fmha_bwd_hd128_fp16_swa_a32_psskddvE,bwd_hd128_fp16_swa_a32_psskddv.co
fp16,192,192,1,1,1,1,0,3,16,64,_ZN5aiter38fmha_bwd_hd192_fp16_causal_a32_psskddvE,bwd_hd192_fp16_causal_a32_psskddv.co
fp16,64,64,0,0,0,0,0,3,32,192,_ZN5aiter22fmha_bwd_hd64_fp16_a16E,bwd_hd64_fp16_a16.co
fp16,64,64,1,0,0,0,0,3,32,192,_ZN5aiter29fmha_bwd_hd64_fp16_causal_a16E,bwd_hd64_fp16_causal_a16.co
